,Nongovernmental Organization,Website,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
44,Uniting NC,http://www.unitingnc.org/,APPROXIMATE,"Raleigh, NC, USA",ChIJ9-BRny9arIkRrfARilK2kGc,"Raleigh, NC, United States",35.7795897,-78.6381787,1,,OK,"locality,political"
45,Multicultural Coalition,https://www.mcofgi.org/,APPROXIMATE,"Grand Island, NE, USA",ChIJ92V37ESGmYcRe7FRSXhbLaE,"Grand Island, NE, United States",40.9263957,-98.3420118,1,,OK,"locality,political"
46,Nebraska Appleseed,http://nebraskaishome.org/,APPROXIMATE,"Lincoln, NE, USA",ChIJZRJWylm-locRud7VH5uFOmM,"Lincoln, NE, United States",40.813616,-96.7025955,1,,OK,"locality,political"
47,Second Start,http://www.second-start.org/,APPROXIMATE,"Concord, NH, USA",ChIJF4lKFZZq4okR8SglpqBxqAU,"Concord, NH, United States",43.2081366,-71.5375718,1,,OK,"locality,political"
48,Welcoming New Hampshire,http://www.welcomingnh.org/,APPROXIMATE,"Concord, NH, USA",ChIJF4lKFZZq4okR8SglpqBxqAU,"Concord, NH, United States",43.2081366,-71.5375718,1,,OK,"locality,political"
49,Piscataway Public Library,https://www.piscatawaylibrary.org/,APPROXIMATE,"Piscataway Township, NJ 08854, USA",ChIJ1UF7VIO4w4kReB1HYVDPmrY,"Piscataway, NJ, United States",40.554887,-74.4642861,1,08854,OK,"locality,political"
50,International Institute of Buffalo,http://www.iibuff.org/,APPROXIMATE,"Buffalo, NY, USA",ChIJoeXfUmES04kRcYEfGKUEI5g,"Buffalo, NY, United States",42.88644679999999,-78.8783689,1,,OK,"locality,political"
51,Ithaca Welcomes Refugees,http://ithacawelcomesrefugees.org/,APPROXIMATE,"Ithaca, NY, USA",ChIJ94iv4IKB0IkRdM5upWgn5Qo,"Ithaca, NY, United States",42.4439614,-76.5018807,1,,OK,"locality,political"
52,Coalition for Hearts and Homes for Refugees,http://www.heartsandhomesforrefugees.com/,APPROXIMATE,"New York, NY, USA",ChIJOwg_06VPwokRYv534QaPC8g,"New York, NY, United States",40.7127753,-74.0059728,1,,OK,"locality,political"
53,The New York Immigration Coalition,http://www.thenyic.org/,APPROXIMATE,"New York, NY, USA",ChIJOwg_06VPwokRYv534QaPC8g,"New York, NY, United States",40.7127753,-74.0059728,1,,OK,"locality,political"
54,YMCA of Greater New York,http://www.ymcanyc.org/,APPROXIMATE,"New York, NY, USA",ChIJOwg_06VPwokRYv534QaPC8g,"New York, NY, United States",40.7127753,-74.0059728,1,,OK,"locality,political"
55,YMCA of Greater Rochester,https://rochesterymca.org/,APPROXIMATE,"Rochester, NY, USA",ChIJU7MUlgWz1okRHuYlQfwfAFo,"Rochester, NY, United States",43.15657789999999,-77.6088465,1,,OK,"locality,political"
56,Centerstate CEO,http://www.centerstateceo.com/,APPROXIMATE,"Syracuse, NY, USA",ChIJDZqXv5vz2YkRRZWt1-IM1QA,"Syracuse, NY, United States",43.0481221,-76.14742439999999,1,,OK,"locality,political"
57,International Institute of Akron,http://iiakron.org/,APPROXIMATE,"Akron, OH, USA",ChIJt_oui5XXMIgRBG0m_ZVsySk,"Akron, OH, United States",41.0814447,-81.51900529999999,1,,OK,"locality,political"
58,Welcome Bowling Green Task Force,,APPROXIMATE,"Bowling Green, OH, USA",ChIJaX8GJSoLPIgRo0ndkqMYLyY,"Bowling Green, OH, United States",41.3747744,-83.6513229,1,,OK,"locality,political"
59,Cincinnati Compass,http://www.cincinnatichamber.com/MBA/#.Vqj5ZfkrJhE,APPROXIMATE,"Cincinnati, OH, USA",ChIJ-SE43rFRQIgRF5PA5It--2k,"Cincinnati, OH, United States",39.1031182,-84.5120196,1,,OK,"locality,political"
60,Global Cleveland,http://globalcleveland.org/,APPROXIMATE,"Cleveland, OH, USA",ChIJLWto4y7vMIgRQhhi91XLBO0,"Cleveland, OH, United States",41.49932,-81.6943605,1,,OK,"locality,political"
61,US Together,http://ustogether.us/,APPROXIMATE,"Columbus, OH, USA",ChIJcd6QucGJOIgRM7Wxz_hmMuQ,"Columbus, OH, United States",39.9611755,-82.99879419999999,1,,OK,"locality,political"
62,YWCA Tulsa,https://www.ywcatulsa.org/,APPROXIMATE,"Tulsa, OK, USA",ChIJjy7R3biStocR92rZG8gQaec,"Tulsa, OK, United States",36.1539816,-95.99277500000001,1,,OK,"locality,political"
63,The Environmental Center,https://envirocenter.org/,APPROXIMATE,"Bend, OR, USA",ChIJUdLTpf_AuFQRtNEgx6zniBA,"Bend, OR, United States",44.0581728,-121.3153096,1,,OK,"locality,political"
64,Refugee Center Online,https://therefugeecenter.org/,APPROXIMATE,"Portland, OR, USA",ChIJJ3SpfQsLlVQRkYXR9ua5Nhw,"Portland, OR, United States",45.5122308,-122.6587185,1,,OK,"locality,political"
65,The Literacy Center,http://www.theliteracycenter-lv.org/,APPROXIMATE,"Allentown, PA, USA",ChIJ4dxKn5I5xIkRoSRoJEvf-eo,"Allentown, PA, United States",40.6022939,-75.4714098,1,,OK,"locality,political"
66,The Lancaster County Refugee and Immigration Coalition,https://www.facebook.com/LancasterCountyRefugeeCoalition/,APPROXIMATE,"Lancaster, PA, USA",ChIJuRRykYskxokR1tLbMNCQZ7Q,"Lancaster, PA, United States",40.0378755,-76.3055144,1,,OK,"locality,political"
67,Lancaster Chamber,http://www.lancasterchamber.com/,APPROXIMATE,"Lancaster, PA, USA",ChIJuRRykYskxokR1tLbMNCQZ7Q,"Lancaster, PA, United States",40.0378755,-76.3055144,1,,OK,"locality,political"
68,Welcoming Center for New Pennsylvanians,http://www.welcomingcenter.org/,APPROXIMATE,"Philadelphia, PA, USA",ChIJ60u11Ni3xokRwVg-jNgU9Yk,"Philadelphia, PA, United States",39.9525839,-75.1652215,1,,OK,"locality,political"
69,Women's Opportunity Resource Center,http://www.worc-pa.com/,APPROXIMATE,"Philadelphia, PA, USA",ChIJ60u11Ni3xokRwVg-jNgU9Yk,"Philadelphia, PA, United States",39.9525839,-75.1652215,1,,OK,"locality,political"
70,The Global Switchboard,http://theglobalswitchboard.org/,APPROXIMATE,"Pittsburgh, PA, USA",ChIJA4UGSG_xNIgRNBuiWqEV-Y0,"Pittsburgh, PA, United States",40.44062479999999,-79.9958864,1,,OK,"locality,political"
71,Vibrant Pittsburgh,http://vibrantpittsburgh.org/,APPROXIMATE,"Pittsburgh, PA, USA",ChIJA4UGSG_xNIgRNBuiWqEV-Y0,"Pittsburgh, PA, United States",40.44062479999999,-79.9958864,1,,OK,"locality,political"
72,Pennsylvania State University Center for Immigrants' Rights Clinic,https://pennstatelaw.psu.edu/practice-skills/clinics/center-immigrants-rights,APPROXIMATE,"State College, PA, USA",ChIJc9s7wZmozokRkYA8g8LG4Zw,"State College, PA, United States",40.7933949,-77.8600012,1,,OK,"locality,political"
73,Lancaster County Refugee Coalition ,http://www.lancasterrefugees.org/,ROOFTOP,"1350 Spring St NW #1, Atlanta, GA 30309, USA",ChIJz4_nc1oE9YgRxihstPqFSoM,,33.791638,-84.389488,1,30309,OK,"bar,establishment,food,point_of_interest,restaurant"
74,Dorcas International Institute,http://www.welcomingri.org/,APPROXIMATE,"Providence, RI, USA",ChIJXXN-Q-BE5IkRJ7azSE1832k,"Providence, RI, United States",41.8239891,-71.4128343,1,,OK,"locality,political"
75,Latino Memphis,http://www.latinomemphis.org/,APPROXIMATE,"Memphis, TN, USA",ChIJRZdD6h5-1YcR_rYaYBXzk9E,"Memphis, TN, United States",35.1495343,-90.0489801,1,,OK,"locality,political"
76,Nashville Food Project,http://www.thenashvillefoodproject.org/,APPROXIMATE,"Nashville, TN, USA",ChIJPZDrEzLsZIgRoNrpodC5P30,"Nashville, TN, United States",36.1626638,-86.7816016,1,,OK,"locality,political"
77,Tennessee Immigrant and Refugee Rights Coalition,http://welcomingtn.org/,APPROXIMATE,"Nashville, TN, USA",ChIJPZDrEzLsZIgRoNrpodC5P30,"Nashville, TN, United States",36.1626638,-86.7816016,1,,OK,"locality,political"
78,United Corpus Christi Chamber of Commerce,http://www.unitedcorpuschristichamber.com/,APPROXIMATE,"Corpus Christi, TX, USA",ChIJs9KSYYBfaIYRj5AOiZNQ0a4,"Corpus Christi, TX, United States",27.8005828,-97.39638099999999,1,,OK,"locality,political"
79,Champlain Valley Office of Economic Opportunity,https://www.cvoeo.org/,APPROXIMATE,"Burlington, VT, USA",ChIJ5VWbtlV6ykwRjkkOchnlX8M,"Burlington, VT, United States",44.4758825,-73.21207199999999,1,,OK,"locality,political"
80,Together Center & Eastside Refugee and Immigrant Coalition,http://www.togethercenter.org/,APPROXIMATE,"Seattle, WA, USA",ChIJVTPokywQkFQRmtVEaUZlJRA,"Seattle, WA, United States",47.6062095,-122.3320708,1,,OK,"locality,political"
81,Open Doors for Refugees,http://www.opendoorsforrefugees.org/,APPROXIMATE,"Madison, WI, USA",ChIJ_xkgOm1TBogRmEFIurX8DE4,"Madison, WI, United States",43.0730517,-89.4012302,1,,OK,"locality,political"
82,International Institute of Wisconsin,https://www.welcomingamerica.org/programs/www.iiwisconsin.org,APPROXIMATE,"Milwaukee, WI, USA",ChIJ50eLV9cCBYgRhHtBtSIZX0Q,"Milwaukee, WI, United States",43.0389025,-87.9064736,1,,OK,"locality,political"
83,SEA Literacy,http://sealmke.org/,APPROXIMATE,"Milwaukee, WI, USA",ChIJ50eLV9cCBYgRhHtBtSIZX0Q,"Milwaukee, WI, United States",43.0389025,-87.9064736,1,,OK,"locality,political"
