,Clean_Text,place.country,coordinates,compound,type
308,bangaldesh encourages unaoc to contribute to the un effos in bridging gaps in the rohingya  crisis commit2dialoge,United States,"[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]",-0.296,Negative
317,elp us rush aid to the most vulnerable families in the world please donate now to send food to the rohingya and others in crisis until sept30 your gift is matched 3x ,United States,"[[-84.8203089, 38.403186], [-80.518626, 38.403186], [-80.518626, 42.327133], [-84.8203089, 42.327133]]",-0.2716,Negative
318,umich should strip aung san suu kyi of her wallenberg medal too for her persistent refusal to denounce the rohingya genocide ,United States,"[[-87.883955, 41.834043], [-87.812541, 41.834043], [-87.812541, 41.871475], [-87.883955, 41.871475]]",0.1779,Positive
324,democracy cannot flourish without the free flow of information reuters editor in chief stephenjadler speaking at press behind bars event on reuters journalists jailed in burma for exposing the genocide of the rohingya unga freethepress freewalonekyawsoeoo ,United States,"[[-73.96723972414375, 40.749545987032114], [-73.96723972414375, 40.749545987032114], [-73.96723972414375, 40.749545987032114], [-73.96723972414375, 40.749545987032114]]",-0.7907,Negative
327,mass murder is not a state secret  amal clooney speaking powerfully about the case of reuters journalists unjustly jailed in myanmar for their work to expose the rohingya genocide freewalonekyawsoeoo freethepress ,United States,"[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]",-0.8591,Negative
328,exposing mass murder does not make a journalist into a spy  amal clooney to officialsuukyi myanmar rohingya unga reuters pressfreedom,United States,"[[-73.96867275238037, 40.74922394015687], [-73.96867275238037, 40.74922394015687], [-73.96867275238037, 40.74922394015687], [-73.96867275238037, 40.74922394015687]]",-0.7783,Negative
329,the myanmar authorities acknowledged the massacre happened even while prosecuting the journalists that revealed it  reuters freethepress unga rohingya,United States,"[[-73.96723972414375, 40.749545987032114], [-73.96723972414375, 40.749545987032114], [-73.96723972414375, 40.749545987032114], [-73.96723972414375, 40.749545987032114]]",0.0,Neutral
330,now at unga73 powerful event on press being held behind bars for daring to repo on amp document a massacre of rohingya the risks these journalists took to tell the truth takes my breath away ,United States,"[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]",0.6705,Positive
334,the un to begin cataloguing humanrights abuses in myanmar southeastasia rohingya tmtmdailybuzz,United States,"[[-90.139368, 32.318044], [-89.965784, 32.318044], [-89.965784, 32.378989], [-90.139368, 32.378989]]",-0.5574,Negative
346,no better place to consult with gubapublishing on their picture book for rohingya children commissioned by savethechildren and worldvision than in a coffee shop run by refugees 1951coffee ,United States,"[[-122.324818, 37.8459532], [-122.234225, 37.8459532], [-122.234225, 37.905738], [-122.324818, 37.905738]]",0.1779,Positive
350,un sets up body to prepare themyanmaimes atrocity prosecution files  aicle amp  reuters ,United States,"[[-74.719622, 40.113799], [-74.67425, 40.113799], [-74.67425, 40.183634], [-74.719622, 40.183634]]",-0.4939,Negative
352,thursday september 27  evening briefing  political history unfolded in real time today    un human rights council voted to gather and analyze evidence of war crimes against rohingya muslims    via nytimes joumanakhatib    ,United States,"[[-82.292185, 41.401871], [-82.096884, 41.401871], [-82.096884, 41.4852105], [-82.292185, 41.4852105]]",-0.5994,Negative
356,secpompeo how was this a productive meeting for the rohingya kachin shan ,United States,"[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]",0.0,Neutral
360,thursday september 27  evening update     kavanaugh speaks to senate panel after emotional testimony from accuser ford    mps vote to strip aung san suu kyi of honorary canadian citizenship over rohingya crisis      via globeandmail     ,United States,"[[-82.292185, 41.401871], [-82.096884, 41.401871], [-82.096884, 41.4852105], [-82.292185, 41.4852105]]",-0.2732,Negative
362,right now and over the fast decade or so there is a high intensity effo by the military dictatorship of myanmar to ethnically cleanse the rohingya muslims from their country our professor was totally unaware and when we told him this he ended class early to research it,United States,"[[-111.083219, 32.057802], [-110.747928, 32.057802], [-110.747928, 32.320979], [-111.083219, 32.320979]]",-0.2716,Negative
